Data Element,Private Creator,VR,VM,Meaning
"(2001,xx00)",Philips Imaging DD 129,SQ,1,Presentation State Sequence
"(2001,xx01)",Philips Imaging DD 129,SQ,1,Embedded Original Presentation State Sequence
"(2001,xx02)",Philips Imaging DD 129,SQ,0-1,Planar Intersection Sequence
"(2001,xx03)",Philips Imaging DD 129,UL,1,Plane Separator Line Color
"(2001,xx04)",Philips Imaging DD 129,SQ,1-n,Plane Sequence
"(2001,xx05)",Philips Imaging DD 129,FD,4,Plane Equation
"(2001,xx06)",Philips Imaging DD 129,FD,1,Plane Opacity
"(2001,xx07)",Philips Imaging DD 129,CS,1,Plane Enabled
"(2001,xx08)",Philips Imaging DD 129,CS,1,Plane Selected
"(2001,xx09)",Philips Imaging DD 129,UL,1,Plane Highlight Color
"(0025,xx01)",Philips ST80i,OW,1,ST80i Stress Study file data
"(0019,xx0C)",SIEMENS MR HEADER,IS,1,B Value
"(0019,xx0D)",SIEMENS MR HEADER,CS,1,Diffusion Directionality
"(0019,xx0E)",SIEMENS MR HEADER,FD,3,Diffusion Gradient Direction
"(0019,xx27)",SIEMENS MR HEADER,FD,6,B Matrix
"(0043,xx39)",GEMS_PARM_01,IS,4,1stvalue is B Value
"(0043,xx6F)",GEMS_PARM_01,DS,3-4,Scanner Table Entry + Gradient Coil Selected
"(0025,xx07)",GEMS_SERS_01,SL,1,Images in Series
"(7E01,xx01)","HOLOGIC, Inc.",LO,1,Codec Version
"(7E01,xx02)","HOLOGIC, Inc.",SH,1,Codec Content Type
"(7E01,xx10)","HOLOGIC, Inc.",SQ,1,High Resolution Data Sequence
"(7E01,xx11)","HOLOGIC, Inc.",SQ,1,Low Resolution Data Sequence
"(7E01,xx12)","HOLOGIC, Inc.",OB,1,Codec Content
"(0099,xx01)",NQHeader,UI,1,Version
"(0099,xx02)",NQHeader,UI,1,Analyzed Series UID
"(0099,xx04)",NQHeader,SS,1,Return Code
"(0099,xx05)",NQHeader,LT,1,Return Message
"(0099,xx10)",NQHeader,FL,1,MI
"(0099,xx20)",NQHeader,SH,1,Units
"(0099,xx21)",NQHeader,FL,1,ICV
"(0199,xx01)",NQLeft,FL,1,Left Cortical White Matter
"(0199,xx02)",NQLeft,FL,1,Left Cortical Gray Matter
"(0199,xx03)",NQLeft,FL,1,Left 3rd Ventricle
"(0199,xx04)",NQLeft,FL,1,Left 4th Ventricle
"(0199,xx05)",NQLeft,FL,1,Left 5th Ventricle
"(0199,xx06)",NQLeft,FL,1,Left Lateral Ventricle
"(0199,xx07)",NQLeft,FL,1,Left Inferior Lateral Ventricle
"(0199,xx08)",NQLeft,FL,1,Left Inferior CSF
"(0199,xx09)",NQLeft,FL,1,Left Cerebellar White Matter
"(0199,xx0a)",NQLeft,FL,1,Left Cerebellar Gray Matter
"(0199,xx0b)",NQLeft,FL,1,Left Hippocampus
"(0199,xx0c)",NQLeft,FL,1,Left Amygdala
"(0199,xx0d)",NQLeft,FL,1,Left Thalamus
"(0199,xx0e)",NQLeft,FL,1,Left Caudate
"(0199,xx0f)",NQLeft,FL,1,Left Putamen
"(0199,xx10)",NQLeft,FL,1,Left Pallidum
"(0199,xx11)",NQLeft,FL,1,Left Ventral Diencephalon
"(0199,xx12)",NQLeft,FL,1,Left Nucleus Accumbens
"(0199,xx13)",NQLeft,FL,1,Left Brain Stem
"(0199,xx14)",NQLeft,FL,1,Left Exterior CSF
"(0199,xx15)",NQLeft,FL,1,Left WM Hypo
"(0199,xx16)",NQLeft,FL,1,Left Other
"(0299,xx01)",NQRight,FL,1,Right Cortical White Matter
"(0299,xx02)",NQRight,FL,1,Right Cortical Gray Matter
"(0299,xx03)",NQRight,FL,1,Right 3rd Ventricle
"(0299,xx04)",NQRight,FL,1,Right 4th Ventricle
"(0299,xx05)",NQRight,FL,1,Right 5th Ventricle
"(0299,xx06)",NQRight,FL,1,Right Lateral Ventricle
"(0299,xx07)",NQRight,FL,1,Right Inferior Lateral Ventricle
"(0299,xx08)",NQRight,FL,1,Right Inferior CSF
"(0299,xx09)",NQRight,FL,1,Right Cerebellar White Matter
"(0299,xx0a)",NQRight,FL,1,Right Cerebellar Gray Matter
"(0299,xx0b)",NQRight,FL,1,Right Hippocampus
"(0299,xx0c)",NQRight,FL,1,Right Amygdala
"(0299,xx0d)",NQRight,FL,1,Right Thalamus
"(0299,xx0e)",NQRight,FL,1,Right Caudate
"(0299,xx0f)",NQRight,FL,1,Right Putamen
"(0299,xx10)",NQRight,FL,1,Right Pallidum
"(0299,xx11)",NQRight,FL,1,Right Ventral Diencephalon
"(0299,xx12)",NQRight,FL,1,Right Nucleus Accumbens
"(0299,xx13)",NQRight,FL,1,Right Brain Stem
"(0299,xx14)",NQRight,FL,1,Right Exterior CSF
"(0299,xx15)",NQRight,FL,1,Right WM Hypo
"(0299,xx16)",NQRight,FL,1,Right Other
"(2005,xx0D)",Philips MR Imaging DD 001,FL,1,Scale Intercept
"(2005,xx0E)",Philips MR Imaging DD 001,FL,1,Scale Slope
"(0119,xx00)",SIEMENS Ultrasound SC2000,LO,1,Acoustic Meta Information Version
"(0119,xx01)",SIEMENS Ultrasound SC2000,OB,1,Common Acoustic Meta Information
"(0119,xx02)",SIEMENS Ultrasound SC2000,SQ,1,Multi Stream Sequence
"(0119,xx03)",SIEMENS Ultrasound SC2000,SQ,1,Acoustic Data Sequence
"(0119,xx04)",SIEMENS Ultrasound SC2000,OB,1,Per Transaction Acoustic Control Information
"(0119,xx05)",SIEMENS Ultrasound SC2000,UL,1,Acoustic Data Offset
"(0119,xx06)",SIEMENS Ultrasound SC2000,UL,1,Acoustic Data Length
"(0119,xx07)",SIEMENS Ultrasound SC2000,UL,1,Footer Offset
"(0119,xx08)",SIEMENS Ultrasound SC2000,UL,1,Footer Length
"(0119,xx09)",SIEMENS Ultrasound SC2000,SS,1,Acoustic Stream Number
"(0119,xx10)",SIEMENS Ultrasound SC2000,SH,1,Acoustic Stream Type
"(0119,xx11)",SIEMENS Ultrasound SC2000,,1,Stage Timer Time
"(0119,xx12)",SIEMENS Ultrasound SC2000,,1,Stop Watch Time
"(0119,xx13)",SIEMENS Ultrasound SC2000,IS,1,Volume Rate
"(0119,xx21)",SIEMENS Ultrasound SC2000,SH,1,
"(0129,xx00)",SIEMENS Ultrasound SC2000,SQ,1,MPR View Sequence
"(0129,xx02)",SIEMENS Ultrasound SC2000,UI,1,Bookmark UID
"(0129,xx03)",SIEMENS Ultrasound SC2000,,1,Plane Origin Vector
"(0129,xx04)",SIEMENS Ultrasound SC2000,,1,Row Vector
"(0129,xx05)",SIEMENS Ultrasound SC2000,,1,Column Vector
"(0129,xx06)",SIEMENS Ultrasound SC2000,SQ,1,Visualization Sequence
"(0129,xx07)",SIEMENS Ultrasound SC2000,UI,1,Bookmark UID
"(0129,xx08)",SIEMENS Ultrasound SC2000,OB,1,Visualization Information
"(0129,xx09)",SIEMENS Ultrasound SC2000,SQ,1,Application State Sequence
"(0129,xx10)",SIEMENS Ultrasound SC2000,OB,1,Application State Information
"(0129,xx11)",SIEMENS Ultrasound SC2000,SQ,1,Referenced Bookmark Sequence
"(0129,xx12)",SIEMENS Ultrasound SC2000,UI,1,Referenced Bookmark UID
"(0129,xx20)",SIEMENS Ultrasound SC2000,SQ,1,Cine Parameters Sequence
"(0129,xx21)",SIEMENS Ultrasound SC2000,OB,1,Cine Parameters Schema
"(0129,xx22)",SIEMENS Ultrasound SC2000,OB,1,Values of Cine Parameters
"(0129,xx29)",SIEMENS Ultrasound SC2000,OB,1,
"(0129,xx30)",SIEMENS Ultrasound SC2000,CS,1,Raw Data Object Type
"(0139,xx01)",SIEMENS Ultrasound SC2000,SL,1,Physio Capture ROI
"(0149,xx01)",SIEMENS Ultrasound SC2000,FD,1-n,Vector of BROI Points
"(0149,xx02)",SIEMENS Ultrasound SC2000,FD,1-n,Start/End Timestamps of Strip Stream
"(0149,xx03)",SIEMENS Ultrasound SC2000,FD,1-n,Timestamps of Visible R-waves
"(7FD1,xx01)",SIEMENS Ultrasound SC2000,OB,1,Acoustic Image and Footer Data
"(7FD1,xx09)",SIEMENS Ultrasound SC2000,UI,1,Volume Version ID
"(7FD1,xx10)",SIEMENS Ultrasound SC2000,OB,1,Volume Payload
"(7FD1,xx11)",SIEMENS Ultrasound SC2000,OB,1,After Payload
"(7FD1,xx01)",SIEMENS SYNGO ULTRA-SOUND TOYON DATA STREAMING,OB,1,Padding
"(7FD1,xx09)",SIEMENS SYNGO ULTRA-SOUND TOYON DATA STREAMING,UI,1,Version ID
"(7FD1,xx10)",SIEMENS SYNGO ULTRA-SOUND TOYON DATA STREAMING,OB,1,Volume Payload
"(7FD1,xx11)",SIEMENS SYNGO ULTRA-SOUND TOYON DATA STREAMING,OB,1,After Payload
